question,answer,guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,interpretations,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,battered,wrong
zenith,pinnacle,decline,guess
flawed,imperfect,crude,guess
urgently,desperately,conceivably,guess
consumed,eaten,supplied,wrong
advent,coming,coming,guess
concisely,succinctly,positively,guess
salutes,greetings,greetings,correct
solitary,alone,fearless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,disturbance,guess
fanciful,imaginative,imaginative,guess
showed,demonstrated,repeated,wrong
constantly,continually,accidentally,wrong
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,definitely,wrong
easygoing,relaxed,frontier,guess
debate,argument,election,wrong
narrow,thin,poisonous,wrong
arranged,planned,studied,wrong
infinite,limitless,unusual,wrong
showy,striking,striking,guess
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,differences,guess
prolific,productive,serious,guess
unmatched,unequaled,emulated,guess
peculiarly,uniquely,partly,wrong
hue,color,glare,wrong
hind,rear,hairy,wrong
highlight,accentuate,accentuate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,windy,wrong
grin,smile,exercise,wrong
verbally,orally,verbosely,guess
physician,doctor,nurse,wrong
essentially,basically,possibly,guess
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,proposed,wrong
tasks,jobs,materials,guess
unlikely,improbable,improbable,correct
halfheartedly,apathetically,unconventionally,guess
annals,chronicles,songs,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,requested,guess
prospective,potential,prominent,guess
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,guess
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disperse,guess
primarily,chiefly,chiefly,guess
colloquial,conversational,conversational,guess
resolved,settled,forgotten,wrong
feasible,possible,permitted,guess
expeditiously,rapidly,repeatedly,guess
percentage,proportion,profit,guess
terminated,ended,posed,guess
uniform,alike,sharp,wrong
figure,solve,divide,wrong
sufficient,enough,recent,wrong
fashion,manner,manner,correct
marketed,sold,diluted,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,haltingly,guess
