question,answer,guess,label
enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,densely,wrong
prominent,conspicuous,ancient,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,ceremonies,wrong
solitary,alone,alone,correct
hasten,accelerate,accelerate,correct
perseverance,endurance,skill,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,subjects,correct
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,successful,wrong
spot,location,location,correct
make,earn,trade,wrong
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,entertaining,wrong
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,circulate,correct
discrepancies,differences,differences,correct
prolific,productive,capable,wrong
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,muscular,wrong
highlight,accentuate,accentuate,correct
hastily,hurriedly,hurriedly,correct
temperate,mild,cold,wrong
grin,smile,smile,correct
verbally,orally,orally,correct
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,useful,wrong
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,jobs,correct
unlikely,improbable,different,wrong
halfheartedly,apathetically,unconventionally,wrong
annals,chronicles,chronicles,correct
wildly,furiously,distinctively,wrong
hailed,acclaimed,acclaimed,correct
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,disperse,correct
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,possible,correct
expeditiously,rapidly,rapidly,correct
percentage,proportion,profit,wrong
terminated,ended,postponed,wrong
uniform,alike,alike,correct
figure,solve,list,wrong
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,ordinarily,correct
