question,answer,guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,stipulations,guess
haphazardly,randomly,randomly,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,pinnacle,guess
flawed,imperfect,lustrous,guess
urgently,desperately,typically,guess
consumed,eaten,supplied,wrong
advent,coming,financing,guess
concisely,succinctly,positively,guess
salutes,greetings,greetings,correct
solitary,alone,alert,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,endurance,guess
fanciful,imaginative,imaginative,guess
showed,demonstrated,repeated,wrong
constantly,continually,accidentally,wrong
issues,subjects,benefits,wrong
furnish,supply,impress,wrong
costly,expensive,popular,wrong
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,relaxed,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,entertaining,guess
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,wavelengths,guess
prolific,productive,productive,guess
unmatched,unequaled,unrecognized,guess
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,imitate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,exercise,wrong
verbally,orally,fittingly,guess
physician,doctor,doctor,correct
essentially,basically,eagerly,guess
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,guess
unlikely,improbable,improbable,correct
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,homes,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,requested,guess
prospective,potential,particular,guess
generally,broadly,accurately,wrong
sustained,prolonged,refined,guess
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,photograph,guess
primarily,chiefly,occasionally,guess
colloquial,conversational,recorded,guess
resolved,settled,forgotten,wrong
feasible,possible,possible,guess
expeditiously,rapidly,rapidly,guess
percentage,proportion,sample,guess
terminated,ended,postponed,guess
uniform,alike,sharp,wrong
figure,solve,divide,wrong
sufficient,enough,recent,wrong
fashion,manner,manner,correct
marketed,sold,frozen,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,permanently,guess
