question,answer,guess,label
enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,densely,wrong
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,typically,wrong
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,restless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,published,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,earn,correct
often,frequently,hardly,wrong
easygoing,relaxed,relaxed,correct
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,prickly,wrong
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,commercialize,wrong
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,unrecognized,wrong
peculiarly,uniquely,uniquely,guess
hue,color,glare,wrong
hind,rear,hairy,wrong
highlight,accentuate,alter,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,windy,wrong
grin,smile,smile,correct
verbally,orally,overtly,wrong
physician,doctor,nurse,wrong
essentially,basically,possibly,wrong
keen,sharp,useful,wrong
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,continuously,wrong
built,constructed,organized,wrong
tasks,jobs,materials,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,apathetically,guess
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,acclaimed,correct
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,wrong
tranquillity,peacefulness,happiness,wrong
dissipate,disperse,disperse,correct
primarily,chiefly,consistently,wrong
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,evident,wrong
expeditiously,rapidly,rapidly,correct
percentage,proportion,profit,wrong
terminated,ended,evaluated,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,enough,correct
fashion,manner,craze,wrong
marketed,sold,diluted,wrong
bigger,larger,larger,correct
roots,origins,cure,wrong
normally,ordinarily,permanently,wrong
